country,latitude,longitude,region,continent,ev_stock,ev_sales,battery_demand_mwh_est,total_battery_factories,total_battery_capacity_gwh,dc_fast_chargers,ac_chargers,avg_power_kw,net_lithium_import_t,net_cobalt_import_t,net_nickel_import_t,net_graphite_import_t,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,lithium_production_t,cobalt_production_t,nickel_production_t,graphite_production_t,domestic_mineral_capacity,mineral_self_sufficiency_pct,import_dependency_pct,supply_risk_score,geopolitical_risk_score,supplier_diversity_index,disruption_probability,risk_category,factory_utilization_pct,battery_export_gwh,battery_import_gwh,production_cost_usd_per_kwh,average_factory_age_years,annual_battery_output_gwh,charger_density_per_1000_ev,public_charging_ratio,charging_readiness_score,charger_growth_rate_pct,transport_mode,average_shipping_distance_km,logistics_cost_usd_per_ton,on_time_delivery_rate_pct,carbon_emission_tco2,route_efficiency_score,warehouse_capacity_t,inventory_turnover_ratio,stockout_probability,date,year,quarter,month,month_name,week,day,fiscal_year,ev_market_growth_pct,battery_demand_growth_pct,manufacturing_dependency_score,infrastructure_score,logistics_risk_score,inventory_risk_score,overall_supply_chain_score
South Africa,-30.56,22.94,Southern Africa,Africa,66999,10483,1023.44,2,5.34,720,3785,47,-8647.72,-451.09,-11307.4,-19703.01,21.73,1.04,56.1,7444.1,4.02,205007,82417,69579,155655,512658,64.34,35.35,46.5,36.7,0.29,0.21,Medium,93.9,248.54,77.98,116.41,27.1,681.73,20.97,56.71,29.7,21.49,Road,3474.3,178.17,74.72,330.23,93.06,6636.38,4.48,0.07,25-09-2025,2025,Q3,9,September,39,25,2025,29.95,15.37,25.83,59.05,71.91,26.89,74.88
South Korea,36.5,127.75,Eastern Asia,Asia,880087,149453,12641.66,19,226.06,15390,51458,91.3,248305.9,72436.64,135375.42,201685.98,26.01,2.04,53.5,31680.53,4.18,198671,84807,42986,218604,545068,44.97,56.11,46.2,23.7,0.39,0.07,Medium,81.55,71.79,133.14,77.71,16.8,125.18,16.45,84.79,27.8,8.64,Sea,3924.5,115.45,82.19,279.87,80.69,106106.97,6.06,0.37,04-11-2024,2024,Q4,11,November,45,4,2024,31.74,32.9,57.64,93.27,59.02,54.62,77.33
Brazil,-14.24,-51.93,South America,South America,169874,44079,2179.96,2,15.59,2253,18058,55.2,1986.37,12428.61,15322.92,11114.35,21.87,4.77,72.2,16176.46,6.27,41766,75746,18209,47510,183231,87.7,12.97,56.3,93.8,0.37,0.38,High,83.9,88.09,37.59,107.6,21.9,128.19,85.75,46.3,100,23.07,Sea,4990.9,315.33,91.59,538.08,86.68,65290.08,17.03,0.1,17-09-2024,2024,Q3,9,September,38,17,2024,29.94,15.4,39.02,63.46,83.49,47.08,69.44
South Africa,-30.56,22.94,Southern Africa,Africa,69984,10952,763.41,0,6.14,648,3431,57,-8131.63,-9314.34,-13516.83,-12234.82,19.3,2.24,36.4,3311.31,3.45,105525,27147,59893,219342,411907,17.45,80.71,57.4,76.3,0.92,0.04,High,89.38,259.29,183.19,71.25,1.6,465.24,22.22,29.03,36.7,30.94,Air,397.9,241.93,75.58,21.74,85.88,113918.37,6.05,0.31,09-01-2024,2024,Q1,1,January,2,9,2023,30.18,14.88,43.5,51.72,54.11,50.16,67.39
South Korea,36.5,127.75,Eastern Asia,Asia,878439,162205,10778.82,15,198.73,13219,59707,92.3,71803.75,109455.27,157254.65,41988.07,25.09,4.81,79,13672.44,6.59,183732,60455,160553,166884,571624,88.8,14.2,26.7,31.1,0.64,0.06,Medium,80.94,345.58,205.99,124.52,18.3,605.74,37.21,38.33,49.5,11.61,Road,3756.3,164.12,76.15,268.78,52.04,41574.78,5.65,0.18,22-02-2024,2024,Q1,2,February,8,22,2023,4.38,39.96,88.4,84.78,93.56,18.04,72.76
South Africa,-30.56,22.94,Southern Africa,Africa,72302,11109,989.3,2,5.74,698,3974,56.1,-20549.29,-3444.22,-16122.16,-6835.82,40.3,2.69,73,3871.81,4.76,243146,80671,106059,6859,436735,50.11,51.6,38.8,59.3,1,0,Medium,55.73,162.53,53.76,73.03,23.9,452.97,26.01,77.58,31.7,22.12,Sea,3442.3,239.94,88.8,69.41,51.04,10418.1,4.76,0.24,22-04-2024,2024,Q2,4,April,17,22,2024,26.19,29.76,63.03,69.14,76.24,82.56,59.28
Chile,-35.68,-71.54,South America,South America,92646,19253,1864.17,1,9.89,917,5390,54.3,-4621.17,-8300.16,-13353.3,-11407.05,41.46,0.51,31.4,8268.68,4.46,225434,87027,55538,74507,442506,16.69,85.26,53,25.1,0.52,0.08,High,60.1,38.06,19.62,135.26,3.7,89.74,15.2,37.36,27.5,15.77,Road,4092.4,203.51,88.96,243.83,65.79,28785.02,14.72,0.06,15-07-2025,2025,Q3,7,July,29,15,2025,40.74,27.67,68.2,60.83,70.31,61.6,58.43
India,20.59,78.96,Southern Asia,Asia,353110,150569,12485.1,6,54.18,8380,61264,50.7,32648.22,4778.92,39785.61,16196.04,36.23,2.94,60.6,21924.8,4.56,124135,86976,156467,12654,380232,73.82,29.17,36.3,37.8,0.57,0.11,Medium,64.31,121.68,100.17,67.35,3.9,336.96,16.7,65.92,29.3,28.66,Sea,3137.4,170.58,96.2,216.48,72.36,55005.31,7.32,0.26,13-12-2025,2025,Q4,12,December,50,13,2025,23.2,26.47,27.51,61.04,44.31,14.92,65.35
India,20.59,78.96,Southern Asia,Asia,397531,149046,9850.64,6,52.82,8051,73763,53.8,22564.9,9642.21,28568,5647.81,30.52,3.93,87.4,27873.84,5.76,230505,41291,140476,123432,535704,35.21,62.3,48.7,18.6,0.32,0.06,Medium,55.08,134.33,141.59,121.42,22.9,394.93,18.55,25.73,30.1,9.69,Air,851.1,140.77,99.38,65.31,81.69,53526.65,3.46,0.04,21-01-2024,2024,Q1,1,January,3,21,2023,21.14,16.86,88.36,40.12,92.57,66.48,57.05
United States,39.83,-98.58,North America,North America,5227869,654605,64675.48,40,334.75,47938,197073,104.7,353687.51,6945.67,192580.28,219652.67,20.54,3.55,45.5,97032.83,4.91,215174,42244,49323,35290,342031,78.92,20.3,38,72,0.81,0.11,Medium,83.59,282.27,240.8,131.29,19.6,699.92,26.35,59.06,38.2,19.39,Air,1480.1,80.32,73.9,143.73,92.52,4816.86,9.79,0.42,21-12-2024,2024,Q4,12,December,51,21,2024,31.22,20.75,35.04,89.17,77.79,49.27,81.82
China,35.86,104.19,Eastern Asia,Asia,10908337,1198519,67722.75,92,855.13,255682,1107193,91.4,386615.27,46012.87,431217.35,424286.26,44.87,4.73,73.1,220107.31,4.19,186737,72975,130704,141263,531679,41.5,59.72,57.3,71.4,0.62,0.14,High,71.71,16,8.39,99.94,6.9,177.66,88.62,40.79,99.6,15.54,Air,727.7,159.34,92.33,19.06,56.27,105005.63,16.81,0.38,11-02-2025,2025,Q1,2,February,7,11,2024,11.86,5.94,47.18,43.28,33.58,62.64,53.49
United States,39.83,-98.58,North America,North America,5033738,712883,50484.11,36,318.81,51326,226445,110.1,209425.78,113798.26,125716.25,26642.82,35.46,1.03,47.4,267748.47,3.84,122432,46824,79580,69747,318583,58.81,42.55,59.7,65.5,0.27,0.45,High,72.35,343.38,147.99,139.08,24.8,834.95,85.95,63.27,100,18.27,Sea,3288.9,236.19,90.59,238.11,88.44,52156.87,14.96,0.4,02-11-2025,2025,Q4,11,November,44,2,2025,8.94,4.04,32.79,81.55,93.85,51.04,70.66
Germany,51.17,10.45,Western Europe,Europe,2385559,395227,33867.49,21,177.31,28556,128891,86.1,185346.39,8875.01,108391.55,66528.76,35.71,3.32,44.3,69262.38,3.81,74476,76170,95060,64188,309894,10.67,91.45,60,38.7,0.52,0.13,High,93.31,140.6,215.22,112.73,11.3,545.68,22.49,54.9,32.8,19.25,Road,4843.8,163.14,76.24,480.93,49.72,44911.24,4.06,0.29,10-01-2024,2024,Q1,1,January,2,10,2023,38.12,31.75,86.21,53.9,38.11,33.91,59.23
United Kingdom,55.38,-3.44,Northern Europe,Europe,1695848,245768,10202.2,11,94.73,14942,72625,77.2,111727.46,27292.75,62254.41,65663.56,36.67,1.87,30.1,77352.8,2.67,29197,89620,174393,3425,296635,23.08,79.36,56.5,48.7,0.61,0.15,High,76.37,325.65,250.15,100.83,19.7,782.02,77.79,30.3,96.3,30.58,Sea,3869.2,94.58,77.77,321.22,82.63,86113.29,14.19,0.19,19-07-2025,2025,Q3,7,July,29,19,2025,23.67,36.39,31.58,65.16,31.17,69.17,66.91
South Korea,36.5,127.75,Eastern Asia,Asia,940968,158327,6188.97,25,213.52,13437,64792,97.6,237749.8,22778.82,170844.9,79193.8,32.49,1.72,82.3,41386.54,5.58,102503,40658,90570,107919,341650,11.6,91.03,78.1,91.9,0.53,0.27,Critical,66.02,209.95,90.75,70.47,18.6,515.88,39.21,72.53,52.2,22.88,Rail,1894.3,180.38,83.99,48.93,82.6,109714.15,11.13,0.02,18-09-2025,2025,Q3,9,September,38,18,2025,5.85,20.26,71.64,87.56,59.44,28.52,64.52
France,46.23,2.21,Western Europe,Europe,1584609,273717,13620.49,16,116.34,13925,75309,80.8,25618.1,43801.54,6626.72,84157.03,43.83,5.06,68.3,17432.36,4.59,89465,8576,7474,171458,276973,11.75,90.45,52.2,28.6,0.65,0.08,High,58.66,116.34,112.78,81.62,16.7,155.45,16.24,62.57,31.4,21.4,Road,1354.8,147.78,89.66,42.52,48.03,1261.32,11.17,0.43,12-09-2025,2025,Q3,9,September,37,12,2025,35.53,33.34,82.72,61.99,49.13,76.13,54.12
France,46.23,2.21,Western Europe,Europe,1795565,264248,19377.16,16,115.97,15698,77179,86.7,82634.2,57469.09,108599.94,5148.66,25.85,1.02,20.6,137444.62,3.21,41830,35964,112755,98104,288653,15.47,86.05,66.7,69.3,0.59,0.23,High,85.75,209.95,244.4,127.37,11,259,53.3,56.35,69.2,14.31,Air,2257.6,30.02,71.06,128.37,70.14,99717.59,6.37,0.28,29-10-2024,2024,Q4,10,October,44,29,2024,22.34,8.71,37.99,93.46,54.2,16.52,70.66
Norway,60.47,8.47,Northern Europe,Europe,793461,110060,6565.94,2,16.07,6698,30061,69.9,17118.15,12659.48,12052.33,3664.26,39.33,0.86,22.6,22788.02,3.77,92507,50505,66607,83851,293470,40.31,62.24,38.1,37.3,0.89,0.02,Medium,64.63,46.92,250.48,128.55,9.5,275.95,16.5,64.3,23.5,14.84,Rail,177.5,297.94,72.3,19.27,73.3,79015.85,8.58,0.07,23-09-2024,2024,Q3,9,September,39,23,2024,40.86,33.9,88.45,74.73,76.51,69.65,68.64
Brazil,-14.24,-51.93,South America,South America,192707,40946,2059.25,4,17.03,2547,17023,56.4,4420.11,11375.39,1049.54,15547.21,44.81,1.08,52.4,6864.42,4.19,196289,42028,107416,94843,440576,52.04,48.84,54.3,77.9,0.67,0.14,High,66.72,82.91,25.43,130.03,25.7,124.85,7.55,82.63,14.6,13.34,Rail,223.6,178.73,98.92,16.74,58.8,42725.05,7.33,0.17,09-03-2024,2024,Q1,3,March,10,9,2023,31.91,20.57,29.98,63.06,23.31,75.37,58.57
Norway,60.47,8.47,Northern Europe,Europe,834767,117047,7243.27,4,16.89,7613,20569,74,18257.41,10735.21,14886.11,7004.13,37.41,1.01,50.8,19646.06,3.61,31937,55588,19258,178488,285271,40.63,60.86,51.5,24.6,0.28,0.17,High,96.48,140.34,142.87,126.42,25.5,517.89,89.25,77.75,100,21.65,Sea,2389.6,135.31,85.88,64.34,56.9,76113.12,4.41,0.44,01-02-2024,2024,Q1,2,February,5,1,2023,39.11,25.23,30.66,78.11,38.11,58.59,70
Brazil,-14.24,-51.93,South America,South America,184965,43905,3441.18,2,17.91,2511,18551,52.1,16605.85,4041.75,4577.02,9958.67,42.77,2.46,31.4,13452.94,3.41,124716,8856,92076,92452,318100,53.18,46.17,41.8,54.5,0.78,0.08,Medium,87.37,36.24,16.56,104.65,11.1,490.3,50.34,72.86,65,14.79,Rail,1996.5,295.54,94.27,170.91,70.44,89641.31,17.91,0.2,27-04-2024,2024,Q2,4,April,17,27,2024,12.07,25.36,82.4,65.84,32.91,7.8,70.46
India,20.59,78.96,Southern Asia,Asia,374304,147799,11174.57,7,52.44,9162,79412,51.2,26776.99,12523.99,11300.5,38293.74,24.86,3.33,71.7,66865.9,4.91,101876,4229,41589,46986,194680,21.13,81.23,50.9,37.7,0.69,0.05,High,81.98,200.02,275.44,61.59,13.5,488.81,81.46,74.38,94.7,30.96,Rail,1653.3,163.4,74.77,135.72,96.69,63188,4.93,0.35,29-10-2025,2025,Q4,10,October,44,29,2025,37.09,27.7,27.7,76.96,94.96,38.33,76.18
South Africa,-30.56,22.94,Southern Africa,Africa,63644,13696,690.37,1,5.97,663,3406,54.5,-11630.26,-7229.28,-4452.95,-3061.53,22.57,0.6,81.2,1632.05,6.2,179265,2139,35511,78105,295020,63.11,34.91,50.3,74.6,0.6,0.21,High,63.56,222.8,208.69,75.49,22.3,382.6,49.42,70.68,66.4,17.6,Rail,3122.4,281.71,82.37,343.06,45.33,108580.44,10.1,0.33,05-06-2025,2025,Q2,6,June,23,5,2025,11.76,33.5,32.5,41.84,32.29,27.76,50.11
South Africa,-30.56,22.94,Southern Africa,Africa,71401,12380,961.71,1,5.85,709,3311,55.7,-15292.93,-1751.21,-6815.21,-3706.94,30.5,1.08,15,3241.31,3.46,209795,11144,49408,193049,463396,38.61,63.74,69.9,86.4,0.42,0.46,High,92.82,289.09,226.07,124.95,21.8,757.93,31.8,54.97,40.3,27.35,Road,2167.2,55.97,85.71,190.63,63.57,28348.34,6.53,0.05,07-12-2025,2025,Q4,12,December,49,7,2025,11.35,21.33,21.43,54.34,58.47,83.39,60.21
Canada,56.13,-106.35,North America,North America,397849,70309,3584.06,7,59.57,7451,24239,66.3,-27120.59,-14058.19,-4163.25,-23781.84,32,1.92,62.1,21578.16,4.92,197136,31249,138519,139544,506448,56.73,44.5,38.6,52.9,0.85,0.07,Medium,57.21,195.53,171.06,89.09,12,595.52,71.57,74.18,79,27.98,Road,1645.3,168.75,91.86,88.43,54.29,103942.09,2.13,0.2,16-04-2025,2025,Q2,4,April,16,16,2025,39.12,39.03,34.96,62.05,68.43,49.22,58.74
India,20.59,78.96,Southern Asia,Asia,403946,134764,5129.38,8,51.45,7777,87149,51.6,42495.93,7540.73,48600.74,5889.83,27.77,0.78,34,38517.82,3.07,67734,71600,152555,117012,408901,61.43,37.22,50,74.8,0.64,0.19,High,62.06,195.57,38.58,120.35,22.2,613.28,31.32,52.72,40.1,8.78,Sea,736,100.18,81.79,87.77,57.86,50329.56,16.24,0.15,19-10-2025,2025,Q4,10,October,42,19,2025,36.55,29.17,69.78,79.2,75.91,83.01,62.28
India,20.59,78.96,Southern Asia,Asia,366610,166746,10413.01,8,47.83,7811,64442,53.5,14378.93,16822.94,32312.7,20685.08,27.53,0.72,72.8,55277.06,6.35,222079,38985,90701,61145,412910,22.37,76.13,54.1,20.1,0.32,0.09,High,96.76,325.14,156.16,61.23,15,533.22,15.57,66.56,24.2,14.97,Rail,3587.4,260.29,94.23,83.76,87.38,17157.82,11.59,0.07,05-06-2025,2025,Q2,6,June,23,5,2025,4.1,32.07,39.89,73.35,18.8,46.17,75.85
China,35.86,104.19,Eastern Asia,Asia,11339565,1315009,94467.99,101,847.4,218482,1395928,100.8,462530.04,573054.84,55676.89,837455.55,35.86,0.78,26.2,153301.49,3.36,47017,38688,39641,12587,137933,25.88,71.42,60.1,37,0.26,0.11,High,97.46,69.11,75.93,99.74,6.1,454.28,20.64,73.52,36,14.45,Rail,3044.5,288.75,82.13,224.12,45.94,23368.37,16.06,0.25,02-05-2024,2024,Q2,5,May,18,2,2024,35.5,34.1,48.29,87.52,12.27,64.79,67.7
United States,39.83,-98.58,North America,North America,4766925,634910,59768.19,36,339.47,54134,259376,113.7,267402.59,238178.64,212976.06,9989.15,36.27,2.82,47.3,126050.03,4.47,141576,702,114545,127505,384328,80.6,16.62,29.8,53,0.82,0.05,Medium,70.56,239.52,130.51,91.29,21.9,429.13,79.11,44.32,85.9,17.99,Air,2768.5,195.44,96.59,86.56,52.25,93028.29,11.79,0.11,25-08-2025,2025,Q3,8,August,35,25,2025,14.58,6.99,45.9,82.31,52.48,24.05,68.83
South Africa,-30.56,22.94,Southern Africa,Africa,74582,13030,979.18,0,7.1,712,3725,51.1,-19558.35,-11826.76,-17041.34,-19204.8,41.38,3.59,51.5,6693.72,4.44,119592,46204,415,19797,186008,95.97,6.98,45.4,73.9,0.43,0.4,Medium,73.5,95.26,221.48,85.04,5.9,192.05,78.99,28.72,93.9,14.45,Air,4572.7,299.38,71.61,142.49,86.73,39424.4,16.49,0.2,04-09-2024,2024,Q3,9,September,36,4,2024,40.4,31.75,48.97,71.38,27.76,48.27,71.55
Chile,-35.68,-71.54,South America,South America,93366,18170,1377.26,0,8.78,942,4016,57.2,-13978.55,-3601.07,-17420.68,-11516.56,21.38,0.55,21.1,10573.74,3.68,244518,84015,31577,117777,477887,29.3,68.62,65.8,63.7,0.35,0.39,High,93.63,166.76,230.59,96.18,11.2,512.44,49.55,51.01,57.5,8.48,Air,4698.4,25.62,73.76,121.48,68.07,88270,17.98,0.12,21-08-2025,2025,Q3,8,August,34,21,2025,17.26,29.72,31.82,66.39,81.79,64.03,65.57
South Korea,36.5,127.75,Eastern Asia,Asia,940143,173116,13307.16,22,156.9,13681,54930,99.3,147024.59,96455.57,48009.53,106880.79,19.39,1.53,40.8,17209.32,4.43,184658,54249,32640,199425,470972,68.51,33.63,46.5,64.1,0.59,0.25,Medium,87.25,141.54,63.94,124.26,14.9,331.41,55.99,54.76,64.6,27.13,Air,499.6,179.42,97.39,32.05,94.55,63511.5,6.34,0.31,22-09-2024,2024,Q3,9,September,38,22,2024,9.04,34.78,58.18,83.6,30.44,87.14,79.72
China,35.86,104.19,Eastern Asia,Asia,11011243,1505803,100816.46,113,801.94,212830,1127501,90,158482.27,145803.86,636027.4,396271.63,26.67,3.13,66.7,315521,5.7,76043,2342,106856,101601,286842,90,7.37,32.8,81.3,0.94,0.02,Medium,89.62,258.35,185.22,130.22,3.3,571.79,80.03,74.08,90,21.37,Air,302.9,92.81,75.48,21.05,75.44,51201.57,5.01,0.24,16-10-2024,2024,Q4,10,October,42,16,2024,13.39,31.76,59.17,73.69,54.59,40.69,76.49
China,35.86,104.19,Eastern Asia,Asia,10935689,1259613,112940.1,104,916.83,191854,1149817,98.2,134328.91,163081.88,483584.74,827432.11,21.07,2.05,63.4,902210.7,5.74,56670,72369,113800,167697,410536,16.93,86.05,53.8,15.3,0.39,0.04,High,93.57,125.37,30.51,126.94,6.3,192.17,50.95,66.38,63.1,10.99,Road,778.6,57.31,89.44,27.22,85.45,45304.06,6.18,0.37,29-11-2024,2024,Q4,11,November,48,29,2024,10.68,38.44,31.3,94.82,60.02,23.65,80.01
South Korea,36.5,127.75,Eastern Asia,Asia,920881,171715,14502.14,18,233.93,12291,58558,100.9,99662.94,141876.93,62988.44,116681.99,20.08,1.75,33.9,74339.71,4.13,3414,4626,126432,32605,167077,92.43,9.4,24.9,24.1,0.56,0.06,Low,71.41,326.2,298.82,88.55,17.9,524.6,64.45,63.47,69.5,15.23,Rail,2129,146.69,79.95,237.76,55.93,58756.83,17.25,0.16,02-03-2024,2024,Q1,3,March,9,2,2023,33.78,37.61,85.5,65.67,80.3,67.26,67.03
Canada,56.13,-106.35,North America,North America,389896,64930,5672.43,8,54.36,4511,26112,75.8,-43227.11,-19552.38,-22411.38,-51650.38,19.3,0.64,77.2,28899,5.19,21872,56711,123166,219750,421499,56.01,45.57,56.5,93.6,0.74,0.2,High,65.49,263.79,128.57,96.2,6.1,407.72,71.42,58.09,85.4,30.29,Rail,2117.8,45.31,87.52,161.04,57.47,95676.51,11.98,0.42,05-05-2025,2025,Q2,5,May,19,5,2025,22.04,24.77,76.36,53.35,59.48,11.13,54.95
China,35.86,104.19,Eastern Asia,Asia,9911968,1397670,55202.24,95,797.41,220603,1380704,93.5,869728.87,135051.14,244462.04,310125.95,22.84,0.33,57,190220.81,5.31,77465,73825,37591,144917,333798,97.21,5.14,33.2,49.3,0.53,0.16,Medium,82.13,187.14,8.55,125.13,11.8,621.39,42.35,40.26,53.5,10.05,Road,718.6,76.05,72.86,53.27,45.39,116567.36,4.46,0.44,03-03-2024,2024,Q1,3,March,9,3,2023,23.9,11.3,43.78,84.97,51.61,66.1,69.82
Japan,36.2,138.25,Eastern Asia,Asia,1650170,253860,23940.42,21,146.31,18899,100314,82.5,92862.26,76512.22,89255.36,77108.22,32.36,0.34,51.2,181618.89,4.33,47614,68994,96611,50978,264197,43.27,59.29,35.3,29.5,0.86,0.02,Medium,88,227.28,171.04,84.75,21.4,689.3,17.31,72.22,33.5,33.16,Rail,3935.4,174.3,98.57,357.95,50.9,903.84,13.8,0.04,07-02-2024,2024,Q1,2,February,6,7,2023,33.94,12.54,86.42,86.47,27.87,65.96,72.52
United Kingdom,55.38,-3.44,Northern Europe,Europe,1496322,232090,8297.76,9,101.86,12490,71807,85.3,58247.41,3778.28,40590.17,24089.07,40.83,2.24,53.7,30091.48,4.67,24010,43413,108441,10317,186181,17.93,83.03,69.8,83.9,0.62,0.17,High,81.08,14.92,3.06,72.5,10,202.87,16.01,48.26,22,9.24,Road,4861.1,36.8,84.63,235.76,61.56,60938.83,5.39,0.19,04-01-2025,2025,Q1,1,January,1,4,2024,4.8,18.42,33.07,95.36,73.88,57.18,67.05
Canada,56.13,-106.35,North America,North America,437372,69542,4658.11,7,51.42,6316,30796,75.5,-19566.61,-2768.43,-12134.47,-9775.74,22.47,0.19,24.7,10977.7,2.96,70190,24392,107722,59659,261963,57.5,39.72,44.4,20.4,0.22,0.11,Medium,82.64,190.71,9.56,70.14,10.8,361.72,14.18,73.24,28.9,32.78,Road,2955.3,106.02,76.19,254.78,74.09,55389.94,7.91,0.07,25-10-2025,2025,Q4,10,October,43,25,2025,15.92,39.31,83.02,76.05,18,13.64,72.09
China,35.86,104.19,Eastern Asia,Asia,11018500,1311672,65041.93,91,910.7,212709,1184753,100.4,647666.03,586127.9,621393.76,820535.14,34.03,0.33,52,321384.84,4.91,173287,87196,70889,160368,491740,51.14,46.34,50.2,81.8,0.82,0.08,High,75.35,153.63,87.24,59.63,20.8,415.03,66.76,81.21,84.2,6.74,Sea,705.1,28.59,70.44,29.58,57.96,18602.03,17.46,0.37,16-01-2024,2024,Q1,1,January,3,16,2023,39.62,37.05,85.69,94.95,79.44,25.82,69.52
Chile,-35.68,-71.54,South America,South America,90395,18214,1427.29,1,10.73,851,4587,58.8,-4748.8,-12301.18,-4439.19,-7798.57,28.02,1.4,83.4,8866.19,5.06,217255,54030,84455,115295,471035,15.83,87.08,50.9,34.3,0.72,0.06,High,68.16,34.34,26.44,97.17,10.5,503.58,31.79,31.37,51.4,8.32,Air,1669.9,47.69,93.66,61.1,49.9,111335.01,16.71,0.21,26-10-2024,2024,Q4,10,October,43,26,2024,32.92,28.97,37.82,64.43,65.22,19.17,57.9
United States,39.83,-98.58,North America,North America,5515652,731224,55347.95,35,303.05,60718,228406,112,47441.44,128158.07,114819.34,103177.89,42.23,0.83,21.4,183675.08,2.13,202678,88674,23124,108970,423446,48.32,54.16,61.5,60.8,0.29,0.42,High,60.69,20.89,129.64,73.33,12.1,295.21,85.37,81.64,90.8,13.54,Road,4704.2,115.96,93.54,463.26,89.72,43098.65,8.32,0.02,08-07-2025,2025,Q3,7,July,28,8,2025,34.87,11.71,46.89,70.3,53.14,89.44,64.8
Germany,51.17,10.45,Western Europe,Europe,2528816,406470,32460.54,24,175.07,29245,129442,85.7,62022.4,79451.97,76103.9,134412.72,30.45,0.68,19.2,158992.21,3.75,212433,43732,126966,37214,420345,53.39,44.03,58.8,65.6,0.32,0.35,High,87.34,338.91,89.56,83.9,6.3,507.77,54.73,29.5,72,3.12,Road,1043.8,237.94,90.02,71.14,63.39,22649.47,10.36,0.09,22-09-2025,2025,Q3,9,September,39,22,2025,17.07,28.18,72.86,97.33,22.14,38.02,72.31
France,46.23,2.21,Western Europe,Europe,1768311,229945,22506.87,13,123.15,15568,72630,81.7,130638.47,53023.36,43639.37,68523.32,31.26,2.02,87.4,104678.04,6.48,207514,60544,177468,186744,632270,44.43,53.32,56.1,46.9,0.3,0.19,High,86.6,13.14,173.84,74.46,11.1,274.34,78.76,41.26,91.8,20.86,Sea,3588.5,135.82,71.91,233.02,92.08,27486.01,15.36,0.34,03-12-2024,2024,Q4,12,December,49,3,2024,12.12,37.33,80.46,84.2,40.9,40.58,76.69
Chile,-35.68,-71.54,South America,South America,88489,17649,1603.92,1,9.55,797,5177,54.6,-14510.82,-4065.4,-15287.9,-3183.35,26.7,3.34,75.2,6136.91,5.69,164642,27040,148164,118059,457905,80.08,17.88,16.2,23.3,0.94,0.01,Low,70.28,283.9,151.03,90.32,3,321.46,57.54,76.57,70.4,13.24,Rail,4890.9,186.29,92.76,570.52,59.64,34543.85,10.59,0.13,28-11-2025,2025,Q4,11,November,48,28,2025,29.5,20.11,71.37,74.35,78.97,62.71,72.02
United Kingdom,55.38,-3.44,Northern Europe,Europe,1556268,218711,20287.02,13,88.33,16396,69417,78.1,82817.51,9964.28,79301.1,53663.71,20.62,1.88,24.4,122199.7,3.98,96579,50246,15225,28872,190922,49.54,49.01,33.2,14.1,0.63,0.04,Medium,59.42,325.72,257.19,117.09,21.1,467.52,44.12,52.95,63.8,26.85,Sea,2442.9,315.2,95.71,271.9,59.41,49234.25,15.55,0.15,27-06-2024,2024,Q2,6,June,26,27,2024,39.4,27.19,47.54,78.97,26.82,11.21,66.15
United Kingdom,55.38,-3.44,Northern Europe,Europe,1649545,255698,23210.76,13,93.45,16178,87203,78.3,47270.64,43218.65,28542.16,55194.62,23.89,2.04,68.8,41710.3,5.74,148647,44699,25284,215887,434517,28.59,74.11,53.9,33.7,0.46,0.12,High,65.31,94.98,174.98,97.39,16,233.97,82.09,43.03,100,6.85,Road,4167.6,186.46,74.36,309.42,74.95,53585.14,6.91,0.02,24-10-2024,2024,Q4,10,October,43,24,2024,6.12,14.3,85.32,46.38,39.64,46.42,58.19
France,46.23,2.21,Western Europe,Europe,1714878,252555,22045.98,14,96.22,13823,85323,86.2,53485.31,3568.23,15389.13,4944.97,35.19,1.93,81.9,40227.73,6.23,148826,69853,74074,214692,507445,79.11,18.78,27.8,53.8,0.92,0.04,Medium,96.95,285.67,87.64,138.17,25.8,638.02,83.22,75.87,100,3.33,Air,3949.5,208.78,86.63,148.13,94.05,54194.34,10.98,0.31,24-09-2025,2025,Q3,9,September,39,24,2025,17.47,22.35,90.84,79.88,42.39,7.91,85.77
Indonesia,-0.79,113.92,Southeast Asia,Asia,145507,38055,3396.69,7,69.15,2024,13721,69.5,-82902.78,-43959.18,-42113.21,-65661.73,22.64,1.34,22.7,13566.23,2.45,25789,57046,101145,129336,313316,58.27,38.88,44.2,24.1,0.26,0.11,Medium,56.2,313.62,105.31,113.38,22.7,622.79,36.37,37.01,49.6,12.35,Road,932.8,308.91,79.21,82.97,92.67,115018.36,12.91,0.36,27-11-2025,2025,Q4,11,November,48,27,2025,20.69,31.25,23.61,80.52,84.43,67.65,71.3
France,46.23,2.21,Western Europe,Europe,1954963,245945,24071.3,13,117.1,16694,85794,87.6,28554.51,8592.28,104211.69,86635.63,42.69,1.77,52.4,80045.63,4.05,13606,75553,75889,124700,289748,63.72,37.14,64.6,87.3,0.3,0.36,High,97.51,240.61,114.31,111.91,27.6,618.17,45.34,70.63,54.2,23.67,Air,4044.6,271.04,78.51,481.32,91.14,7759.82,2.24,0.01,12-05-2024,2024,Q2,5,May,19,12,2024,15.07,21.56,49.94,90.69,20.93,41.36,78.69
